"",,2003 TORNADO FATALITIES BY STATE AND LOCATION,,
STATE,BU,LS MH OT OU PH SC,VE,TOTAL
FL,0,0 0 0 0 1 0,0,1
GA,0,0 6 0 0 0 0,0,6
IL,0,0 1 0 0 1 0,0,2
KS,0,0 1 0 0 7 0,0,8
KY,0,0 3 0 0 0 0,0,3
MO,0,0 4 1 2 12 0,0,19
NE,0,0 0 1 0 1 0,0,2
NJ,0,0 0 0 1 0 0,0,1
TN,0,0 10 0 0 2 0,0,12
TOTAL,0,0 25 2 3 24 0,0,54
PERCENT,0,0 46 4 6 44 0,0,100
2003 TORNADO FATALITIES BY AGE AND GENDER,,
FEMALE MALE UNKNOWN TOTAL PERCENT,,
0 TO 9 0 6 0 6 11,,
10 TO 19 0 0 0 0 0,,LEGEND
20 TO 29 5 0 0 5 9,,
"",BU,- Business
30 TO 39 1 3 0 4 7,,
40 TO 498 5 0 13 24,LS,- Long-Span Roof
2 5 0 7 13,,
"",MH - Mobile Home,
50 TO 59,,
"",OT,- Other/Unknown
60 TO 69 3 2 0 5 9,,
"",OU,- Outside Open
70 TO 79 4 4 0 8 15,PH,- Permanent Home
80 TO 89 2 4 0 6 11,SC,- School
90 TO -- 0 0 0 0 0,VE,- Vehicle
UNKNOWN 0 0 0 0 0,,
TOTAL 25 29 0 54 99 *,,
PERCENT 46 54 0 100,,
