"",2015 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH SC VE,,,Total
AR (Arkansas),0 0 2 0 0 0 0 0,,,2
IL (Illinois),0 0 0 0 0 2 0 0,,,2
MS (Mississippi),0 0 6 0 0 4 0 1,,,11
OK (Oklahoma),0 0 2 0 0 0 0 0,,,2
TN (Tennessee),0 0 0 0 0 2 0 0,,,2
TX (Texas),2 0 5 0 0 1 0 9,,,17
Total,2 0 15 0 0 9 0 10,,,36
Percent,5.56 0.00 41.67 0.00 0.00 25.00 0.00 27.78,,,
2015 Tornado Fatalities by Age and Gender,Legend,,,
"",BU - Business,,,
Female,Male Unknown Total Percent LS - Long Span Roof,,,
0 to 9,2 1 0 3 8.33 MH - Mobile/Trailer Home,,,
10 to 19,0 1 0 1 2.78 OT - Other,,,
Outside/Open Areas20 to 29,OU - 2 1 0 3 8.33,,,
"",PH - Permanent Home,,,
30 to 39,3 1 0 4 11.11,,,
"",SC - School,,,
40 to 49,2 3 0 5 13.89,,,
"",VE - Vehicle/Towed Trailer,,,
50 to 59,1 2 0 3 8.33,,,
60 to 69,7 4 0 11 30.56,,,
70 to 79,1 3 0 4 11.11,,,
80 to 89,2 0 0 2 5.56,,,
90 to --,0 0 0 0 0.00,,,
Unknown,0 0 0 0 0.00,,,
Total,20 16 0 36,,,
