"",2016 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH,SC,VE,Total
AL (Alabama),0 0 3 0 0 1,0,0,4
FL (Florida),0 0 2 0 0 0,0,0,2
LA (Louisiana),0 0 2 0 0 0,0,0,2
MS (Mississippi),0 0 1 0 0 0,0,0,1
OK (Oklahoma),0 0 0 0 0 2,0,0,2
TN (Tennessee),0 0 2 0 0 0,0,0,2
TX (Texas),0 0 1 0 0 0,0,0,1
VA (Virginia),0 0 3 0 1 0,0,0,4
Total,0 0 14 0 1 3,0,0,18
Percent,0.00 0.00 77.78 0.00 5.56 16.67,0.00,0.00,
Outside/Open Areas20 to 29 2,2,0,4,22.22,OU -,
"",,,,,PH -,Permanent Home
30 to 39 0,0,0,0,0.00,,
"",,,,,SC -,School
40 to 49 0,0,0,0,0.00,,
"",,,,,VE -,Vehicle/Towed Trail
50 to 59 1,4,0,5,27.78,,
60 to 69 1,0,0,1,5.56,,
70 to 79 0,4,0,4,22.22,,
80 to 89 0,0,0,0,0.00,,
90 to -- 0,0,0,0,0.00,,
Unknown 2,1,0,3,16.67,,
Total 6,12,0,18,,,
Percent 33.33,66.67,0.00,,,,
