"",2009 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH,SC,VE,Total
AL (Alabama),0 0 1 0 0 0,0,0,1
AR (Arkansas),0 0 0 1 0 2,0,0,3
GA (Georgia),0 0 1 0 0 0,0,0,1
KY (Kentucky),0 0 2 0 0 0,0,0,2
MO (Missouri),0 0 1 0 2 0,0,0,3
MS (Mississippi),0 0 1 0 0 0,0,0,1
OK (Oklahoma),0 0 6 0 0 1,0,1,8
TN (Tennessee),0 0 0 0 0 2,0,0,2
Total,0 0 12 1 2 5,0,1,21
Percent,0.00 0.00 57.14 4.76 9.52 23.81,0.00,4.76,
Outside/Open Areas20 to 29 1,0,0,1,4.76,OU -,
"",,,,,PH -,Permanent Home
30 to 39 1,4,0,5,23.81,,
"",,,,,SC -,School
40 to 49 1,2,0,3,14.29,,
"",,,,,VE -,Vehicle/Towed Trail
50 to 59 5,0,0,5,23.81,,
60 to 69 2,2,0,4,19.05,,
70 to 79 0,1,0,1,4.76,,
80 to 89 1,0,0,1,4.76,,
90 to -- 0,0,0,0,0.00,,
Unknown 0,0,0,0,0.00,,
Total 12,9,0,21,,,
Percent 57.14,42.86,0.00,,,,
