"",2013 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH SC VE,,,Total
AR (Arkansas),0 0 0 1 0 0 0 1,,,2
GA (Georgia),0 0 1 0 0 0 0 0,,,1
IA (Iowa),1 0 0 0 0 0 0 0,,,1
IL (Illinois),0 0 3 0 0 5 0 0,,,8
MS (Mississippi),1 0 0 1 0 0 0 0,,,2
OK (Oklahoma),1 0 1 3 0 13 7 9,,,34
TX (Texas),0 0 7 0 0 0 0 0,,,7
Total,3 0 12 5 0 18 7 10,,,55
Percent,5.45 0.00 21.82 9.09 0.00 32.73 12.73 18.18,,,
2013 Tornado Fatalities by Age and Gender,Legend,,,
"",BU - Business,,,
Female,Male Unknown Total Percent LS - Long Span Roof,,,
0 to 9,6 5 0 11 20.00 MH - Mobile/Trailer Home,,,
10 to 19,0 0 0 0 0.00 OT - Other,,,
Outside/Open Areas20 to 29,OU - 2 2 0 4 7.27,,,
"",PH - Permanent Home,,,
30 to 39,1 5 0 6 10.91,,,
"",SC - School,,,
40 to 49,4 3 0 7 12.73,,,
"",VE - Vehicle/Towed Trailer,,,
50 to 59,3 5 0 8 14.55,,,
60 to 69,2 5 0 7 12.73,,,
70 to 79,3 2 0 5 9.09,,,
80 to 89,2 3 0 5 9.09,,,
90 to --,1 0 0 1 1.82,,,
Unknown,0 1 0 1 1.82,,,
Total,24 31 0 55,,,
Percent,43.64 56.36 0.00,,,
